category,sub_category,name,lat,lon,address,phone,operator,osm_type,osm_id,data_source
medical,hospital,가톨릭내과의원,36.1251536,128.3461154,,,,node,368831108,manual
medical,hospital,해피맘소아과의원,36.114308,128.339673,,,,node,368831128,manual
medical,hospital,권가정의학과의원,36.08621,128.355787,,,,node,368831141,manual
medical,hospital,이성근가정의학과의원,36.116311,128.338826,,,,node,368831142,manual
medical,hospital,이수환외과의원,36.095486,128.358484,,,,node,368831157,manual
medical,hospital,성모외과의원,36.1016909,128.3831611,,,,node,368831158,manual
medical,hospital,큰나무정형외과,36.108778,128.422906,,,,node,368831164,manual
medical,hospital,조건희안과의원,36.125142,128.3460475,,,,node,368831165,manual
medical,hospital,이동익이비인후과,36.0925563,128.4323564,,,,node,368831171,manual
medical,hospital,(재단)새생명재단(행복의원),36.23985,128.300105,,,,node,368831173,manual
medical,hospital,박피부비뇨기과의원,36.1250298,128.3460959,,,,node,368831177,manual
medical,hospital,세란산부인과,36.1249833,128.3460413,,,,node,368831185,manual
medical,hospital,박종근산부인과,36.1220861,128.3501337,,,,node,368831192,manual
medical,hospital,류외과의원,36.12495,128.3462265,,,,node,368831193,manual
medical,hospital,지앤미피부비뇨기과의원,36.1131389,128.3388188,,,,node,368831198,manual
medical,hospital,인동피부비뇨기과,36.106626,128.41955,,,,node,368831205,manual
medical,hospital,더블유의원,36.106166,128.419659,,,,node,368831211,manual
medical,hospital,열린마음정신과의원,36.1287403,128.3320712,,,,node,368831217,manual
medical,hospital,장신경정신과의원,36.1250439,128.3461957,,,,node,368831221,manual
medical,hospital,노엘피부과,36.137354,128.417125,,,,node,368831225,manual
medical,hospital,믿음터의원,36.12874,128.41618,,,,node,368831232,manual
medical,hospital,카톨릭피부과의원,36.130083,128.3319542,,,,node,368831260,manual
medical,hospital,코엔아이의원,36.109038,128.366077,,,,node,368831269,manual
medical,hospital,민제한의원,36.123669,128.362612,,,,node,368831276,manual
medical,hospital,베데스다언어크리닉,36.1111599,128.3402744,,,,node,368831291,manual
medical,hospital,신세계한의원,36.106458,128.426403,,,,node,368831298,manual
medical,hospital,참소중한언어치료센타,36.1009344,128.3851426,,,,node,368831323,manual
medical,hospital,공단한의원,36.1016894,128.3830452,,,,node,368831356,manual
medical,hospital,해평한의원,36.198455,128.391628,,,,node,368831368,manual
medical,hospital,광동한의원,36.0935009,128.4326972,,,,node,368831398,manual
medical,hospital,참사랑의원,36.210175,128.32802,,,,node,368831409,manual
medical,hospital,고아읍보건지소,36.210489,128.328544,,,,node,368831428,manual
medical,hospital,황상한의원,36.117452,128.427052,,,,node,368831435,manual
medical,hospital,선산중앙의원,36.239699,128.302463,,,,node,368831454,manual
medical,hospital,신평한의원,36.123796,128.362412,,,,node,368831470,manual
medical,hospital,에바다언어치료실,36.0941756,128.4352288,,,,node,368831479,manual
medical,hospital,옥성보건지소,36.295373,128.278305,,,,node,368831481,manual
medical,hospital,소나무한의원,36.108443,128.423226,,,,node,368831499,manual
